ID,Car Name,Manual/Motor,MPG,Annual Fuel Cost
0,2021 Tesla Model 3 Standard Range Plus RWD,"Automatic (A1), Electricity",142,$500 
1,2020 Tesla Model 3 Standard Range Plus,"Automatic (A1), Electricity",141,$500 
2,2019 Hyundai Ioniq Electric,"Automatic (A1), Electricity",136,$500 
3,2018 Hyundai Ioniq Electric,"Automatic (A1), Electricity",136,$500 
4,2017 Hyundai Ioniq Electric,"Automatic (A1), Electricity",136,$500 
5,2021 Tesla Model 3 Long Range AWD,"Automatic (A1), Electricity",134,$550 
6,2021 Hyundai Ioniq Electric,"Automatic (A1), Electricity",133,$550 
7,2020 Hyundai Ioniq Electric,"Automatic (A1), Electricity",133,$550 
8,2019 Tesla Model 3 Standard Range Plus,"Automatic (A1), Electricity",133,$550 
9,2022 Tesla Model 3 RWD,"Automatic (A1), Electricity",132,$550 
10,2020 Tesla Model 3 Standard Range,"Automatic (A1), Electricity",131,$550 
11,2019 Tesla Model 3 Standard Range,"Automatic (A1), Electricity",131,$550 
12,2022 Tesla Model 3 Long Range AWD,"Automatic (A1), Electricity",131,$550 
13,2022 Lucid Air G Touring AWD w/19 inch wheels,"Automatic (A1), Electricity",131,$550 
14,2020 Tesla Model 3 Long Range,"Automatic (A1), Electricity",130,$550 
15,2019 Tesla Model 3 Long Range,"Automatic (A1), Electricity",130,$550 
16,2018 Tesla Model 3 Long Range,"Automatic (A1), Electricity",130,$550 
17,2022 Tesla Model Y RWD,"Automatic (A1), Electricity",129,$550 
18,2021 Tesla Model Y Standard Range RWD,"Automatic (A1), Electricity",129,$550 
19,2017 Tesla Model 3 Long Range,"Automatic (A1), Electricity",126,$550 
20,2021 Tesla Model Y Long Range AWD,"Automatic (A1), Electricity",125,$550 
21,2022 Lucid Air Dream R AWD w/19 inch wheels,"Automatic (A1), Electricity",125,$550 
22,2016 BMW i3 BEV,"Automatic (A1), Electricity",124,$550 
23,2017 BMW i3 BEV (60  Amp-hour battery),"Automatic (A1), Electricity",124,$550 
24,2022 Tesla Model Y AWD,"Automatic (A1), Electricity",123,$600 
25,2020 Tesla Model 3 Mid Range,"Automatic (A1), Electricity",123,$600 
26,2019 Tesla Model 3 Mid Range,"Automatic (A1), Electricity",123,$600 
27,2018 Tesla Model 3 Mid Range,"Automatic (A1), Electricity",123,$600 
28,2022 Tesla Model Y Long Range AWD,"Automatic (A1), Electricity",122,$600 
29,2020 Tesla Model Y Performance AWD,"Automatic (A1), Electricity",121,$600 
30,2020 Tesla Model Y Long Range AWD,"Automatic (A1), Electricity",121,$600 
31,2020 Tesla Model 3 Long Range AWD,"Automatic (A1), Electricity",121,$600 
32,2020 Tesla Model 3 Long Range Performance AWD (18in),"Automatic (A1), Electricity",121,$600 
33,2022 Lucid Air G Touring AWD w/21 inch wheels,"Automatic (A1), Electricity",121,$600 
